label,target,category
V08,visuospatial#V08,numerical
V10,visuospatial#V10,numerical
V12,visuospatial#V12,numerical
BL,DEPRS#BL,numerical
V04,DEPRS#V04,numerical
V06,DEPRS#V06,numerical
V08,DEPRS#V08,numerical
V10,DEPRS#V10,numerical
V12,DEPRS#V12,numerical
BL,DRMAGRAC#BL,numerical
V04,DRMAGRAC#V04,numerical
V06,DRMAGRAC#V06,numerical
V08,DRMAGRAC#V08,numerical
V10,DRMAGRAC#V10,numerical
V12,DRMAGRAC#V12,numerical
BL,DRMFIGHT#BL,numerical
V04,DRMFIGHT#V04,numerical
V06,DRMFIGHT#V06,numerical
V08,DRMFIGHT#V08,numerical
V10,DRMFIGHT#V10,numerical
V12,DRMFIGHT#V12,numerical
BL,DRMNOCTB#BL,numerical
V04,DRMNOCTB#V04,numerical
V06,DRMNOCTB#V06,numerical
V08,DRMNOCTB#V08,numerical
V10,DRMNOCTB#V10,numerical
V12,DRMNOCTB#V12,numerical
BL,DRMOBJFL#BL,numerical
V04,DRMOBJFL#V04,numerical
V06,DRMOBJFL#V06,numerical
V08,DRMOBJFL#V08,numerical
V10,DRMOBJFL#V10,numerical
V12,DRMOBJFL#V12,numerical
BL,DRMREMEM#BL,numerical
V04,DRMREMEM#V04,numerical
V06,DRMREMEM#V06,numerical
V08,DRMREMEM#V08,numerical
V10,DRMREMEM#V10,numerical
V12,DRMREMEM#V12,numerical
BL,DRMUMV#BL,numerical
V04,DRMUMV#V04,numerical
V06,DRMUMV#V06,numerical
V08,DRMUMV#V08,numerical
V10,DRMUMV#V10,numerical
V12,DRMUMV#V12,numerical
BL,DRMVERBL#BL,numerical
V04,DRMVERBL#V04,numerical
V06,DRMVERBL#V06,numerical
V08,DRMVERBL#V08,numerical
V10,DRMVERBL#V10,numerical
V12,DRMVERBL#V12,numerical
BL,DRMVIVID#BL,numerical
V04,DRMVIVID#V04,numerical
V06,DRMVIVID#V06,numerical
V08,DRMVIVID#V08,numerical
V10,DRMVIVID#V10,numerical
V12,DRMVIVID#V12,numerical
BL,HETRA#BL,numerical
V04,HETRA#V04,numerical
V06,HETRA#V06,numerical
V08,HETRA#V08,numerical
V10,HETRA#V10,numerical
V12,HETRA#V12,numerical
BL,MVAWAKEN#BL,numerical
V04,MVAWAKEN#V04,numerical
V06,MVAWAKEN#V06,numerical
V08,MVAWAKEN#V08,numerical
V10,MVAWAKEN#V10,numerical
V12,MVAWAKEN#V12,numerical
BL,RLS#BL,numerical
V04,RLS#V04,numerical
V06,RLS#V06,numerical
V08,RLS#V08,numerical
V10,RLS#V10,numerical
V12,RLS#V12,numerical
BL,SLPDSTRB#BL,numerical
V04,SLPDSTRB#V04,numerical
V06,SLPDSTRB#V06,numerical
V08,SLPDSTRB#V08,numerical
V10,SLPDSTRB#V10,numerical
V12,SLPDSTRB#V12,numerical
BL,SLPINJUR#BL,numerical
V04,SLPINJUR#V04,numerical
V06,SLPINJUR#V06,numerical
V08,SLPINJUR#V08,numerical
V10,SLPINJUR#V10,numerical
V12,SLPINJUR#V12,numerical
BL,SLPLMBMV#BL,numerical
V04,SLPLMBMV#V04,numerical
V06,SLPLMBMV#V06,numerical
V08,SLPLMBMV#V08,numerical
V10,SLPLMBMV#V10,numerical
V12,SLPLMBMV#V12,numerical
BL,cardiovascular#BL,numerical
V04,cardiovascular#V04,numerical
V06,cardiovascular#V06,numerical
V08,cardiovascular#V08,numerical
V10,cardiovascular#V10,numerical
V12,cardiovascular#V12,numerical
BL,gastrointestinal_down#BL,numerical
V04,gastrointestinal_down#V04,numerical
V06,gastrointestinal_down#V06,numerical
V08,gastrointestinal_down#V08,numerical
V10,gastrointestinal_down#V10,numerical
V12,gastrointestinal_down#V12,numerical
BL,gastrointestinal_up#BL,numerical
V04,gastrointestinal_up#V04,numerical
V06,gastrointestinal_up#V06,numerical
V08,gastrointestinal_up#V08,numerical
V10,gastrointestinal_up#V10,numerical
V12,gastrointestinal_up#V12,numerical
BL,pupillomotor#BL,numerical
V04,pupillomotor#V04,numerical
V06,pupillomotor#V06,numerical
V08,pupillomotor#V08,numerical
V10,pupillomotor#V10,numerical
V12,pupillomotor#V12,numerical
BL,skin#BL,numerical
V04,skin#V04,numerical
V06,skin#V06,numerical
V08,skin#V08,numerical
V10,skin#V10,numerical
V12,skin#V12,numerical
BL,thermoregulatory#BL,numerical
V04,thermoregulatory#V04,numerical
V06,thermoregulatory#V06,numerical
V08,thermoregulatory#V08,numerical
V10,thermoregulatory#V10,numerical
V12,thermoregulatory#V12,numerical
BL,urinary#BL,numerical
V04,urinary#V04,numerical
V06,urinary#V06,numerical
V08,urinary#V08,numerical
V10,urinary#V10,numerical
V12,urinary#V12,numerical
BL,VLTANIM#BL,numerical
V04,VLTANIM#V04,numerical
V06,VLTANIM#V06,numerical
V08,VLTANIM#V08,numerical
V10,VLTANIM#V10,numerical
V12,VLTANIM#V12,numerical
BL,VLTFRUIT#BL,numerical
V04,VLTFRUIT#V04,numerical
V06,VLTFRUIT#V06,numerical
V08,VLTFRUIT#V08,numerical
V10,VLTFRUIT#V10,numerical
V12,VLTFRUIT#V12,numerical
BL,VLTVEG#BL,numerical
V04,VLTVEG#V04,numerical
V06,VLTVEG#V06,numerical
V08,VLTVEG#V08,numerical
V10,VLTVEG#V10,numerical
V12,VLTVEG#V12,numerical
BL,a_state#BL,numerical
V04,a_state#V04,numerical
V06,a_state#V06,numerical
V08,a_state#V08,numerical
V10,a_state#V10,numerical
V12,a_state#V12,numerical
BL,a_trait#BL,numerical
V04,a_trait#V04,numerical
V06,a_trait#V06,numerical
V08,a_trait#V08,numerical
V10,a_trait#V10,numerical
V12,a_trait#V12,numerical
BL,SDMTOTAL#BL,numerical
V04,SDMTOTAL#V04,numerical
V06,SDMTOTAL#V06,numerical
V08,SDMTOTAL#V08,numerical
V10,SDMTOTAL#V10,numerical
V12,SDMTOTAL#V12,numerical
